date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:38	196/196	---MCZ	200	added ('OK')	text/plain	etag:W/%22641dcaa1-2a7%22	http://super-mario3d-world.net/robots.txt		(from )
01:47:40	208790/208790	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202023%2018:47:40%20GMT	http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/index2e4b.html	(from )
01:47:41	777/777	---M--	200	added ('OK')	image/png	etag:%2263daf192-309%22	http://super-mario3d-world.net/assets/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/favicon-16x16.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:41	33310/33310	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263daf192-821e%22	http://super-mario3d-world.net/assets/favicons/favicon.ico	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/favicon.ico	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:41	2069/2069	---M--	200	added ('OK')	image/png	etag:%2263daf192-815%22	http://super-mario3d-world.net/assets/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/favicon-32x32.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:41	3736/3736	---M--	200	added ('OK')	image/png	etag:%2263daf192-e98%22	http://super-mario3d-world.net/assets/favicons/favicon-48x48.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/favicon-48x48.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:42	1528/1528	---MCZ	200	added ('OK')	application/json	etag:W/%2263daf192-5f8%22	http://super-mario3d-world.net/assets/favicons/manifest.json	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/manifest.json	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:42	5245/5245	---M--	200	added ('OK')	image/png	etag:%2263daf192-147d%22	http://super-mario3d-world.net/assets/favicons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/apple-touch-icon-57x57.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:43	5585/5585	---M--	200	added ('OK')	image/png	etag:%2263daf192-15d1%22	http://super-mario3d-world.net/assets/favicons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/apple-touch-icon-60x60.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
01:47:43	7320/7320	---M--	200	added ('OK')	image/png	etag:%2263daf192-1c98%22	http://super-mario3d-world.net/assets/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/favicons/apple-touch-icon-72x72.png	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
